City,Bedroom,Region,Price,RateperSqft,CarpetArea,TransactionType
Mumbai,3.0,Kandivali East Mumbai,420.0,35805.63,1173.0,Resale
Mumbai,3.0,Goregaon West Mumbai,360.0,39647.58,908.0,Resale
Mumbai,2.0,Andheri West Mumbai,330.0,46348.31,712.0,Resale
Mumbai,2.0,Goregaon West Mumbai,175.0,26923.08,650.0,Resale
Mumbai,1.0,Mulund East Mumbai,110.0,23913.04,460.0,Resale
Mumbai,2.0,Malad West Mumbai,200.0,28169.01,710.0,Resale
Mumbai,2.0,Powai Mumbai,220.0,32592.59,675.0,Resale
Mumbai,3.0,Vile Parle East Mumbai,450.0,53254.44,845.0,Resale
Mumbai,3.0,Andheri West Mumbai,350.0,28000.0,1250.0,Resale
Mumbai,2.0,Bhandup West Mumbai,179.0,26518.52,675.0,Resale
Mumbai,2.0,Kandivali East Mumbai,175.0,23584.91,742.0,Resale
Mumbai,2.0,Mulund Mumbai,150.0,24193.55,620.0,Resale
Mumbai,3.0,Matunga East Mumbai,600.0,44444.44,1350.0,Resale
Mumbai,3.0,Vikhroli East Mumbai,510.0,46363.64,1100.0,Resale
Mumbai,2.0,Kandivali East Mumbai,240.0,35294.12,680.0,New Property
Mumbai,2.0,Vile Parle East Mumbai,320.0,41343.67,774.0,New Property
Mumbai,3.0,Powai Mumbai,365.0,30416.67,1200.0,Resale
Mumbai,3.0,Chinchpokli Mumbai,390.0,37356.32,1044.0,New Property
Mumbai,2.0,Beverly Park Mumbai,245.23,41353.82,593.0,New Property
Mumbai,4.0,Kandivali East Mumbai,530.0,35570.47,1490.0,Resale
Mumbai,2.0,Vakola Mumbai,220.0,25882.35,850.0,Resale
Mumbai,3.0,Kandivali East Mumbai,340.0,31598.51,1076.0,New Property
Mumbai,2.0,Mira Road East Mumbai,100.0,14044.94,712.0,New Property
Mumbai,3.0,Akurli Nagar Mumbai,350.0,35714.29,980.0,Resale
Mumbai,2.0,Bhayandar East Mumbai,107.0,16718.75,640.0,New Property
Mumbai,2.0,Bhandup West Mumbai,182.0,26000.0,700.0,New Property
Mumbai,3.0,Powai Mumbai,485.0,42731.28,1135.0,New Property
Mumbai,2.0,Mira Road East Mumbai,183.0,15641.03,1170.0,New Property
Mumbai,2.0,Andheri West Mumbai,219.0,33953.49,645.0,New Property
Mumbai,2.0,Bandra East Mumbai,399.0,51088.35,781.0,New Property
Mumbai,2.0,Hiranandani Gardens Mumbai,255.0,35123.97,726.0,Resale
Mumbai,4.0,Santacruz West Mumbai,1400.0,70000.0,2000.0,Resale
Mumbai,2.0,Kalina Mumbai,245.0,34751.77,705.0,Resale
Mumbai,3.0,Andheri East Mumbai,375.0,48387.1,775.0,Resale
Mumbai,3.0,Parel Mumbai,475.0,38399.35,1237.0,Resale
Mumbai,2.0,Kandivali East Mumbai,179.0,27968.75,640.0,Resale
Mumbai,5.0,Khar West Mumbai,1100.0,50000.0,2200.0,Resale
Mumbai,2.0,Santacruz East Mumbai,261.0,28216.22,925.0,Resale
Mumbai,3.0,Borivali West Mumbai,351.0,28352.18,1238.0,New Property
Mumbai,1.0,Chembur Mumbai,245.23,68691.36,357.0,New Property
Mumbai,1.0,Mahajan Wadi Mumbai,245.23,54495.15,450.0,New Property
Mumbai,3.0,Goregaon East Mumbai,485.0,26944.44,1800.0,Resale
Mumbai,4.0,Chembur East Mumbai,1100.0,42307.69,2600.0,Resale
Mumbai,1.0,Andheri West Mumbai,150.0,32119.91,467.0,New Property
Mumbai,2.0,Mulund West Mumbai,215.0,31851.85,675.0,New Property
Mumbai,3.0,Mahim West Mumbai,425.0,48295.45,880.0,New Property
Mumbai,2.0,Pant Nagar Mumbai,200.0,26420.08,757.0,New Property
Mumbai,3.0,Deonar Govandi East Mumbai,350.0,36842.11,950.0,Resale
Mumbai,2.0,Malad West Mumbai,250.0,31055.9,805.0,Resale
Mumbai,3.0,Andheri East Mumbai,350.0,31818.18,1100.0,Resale
Mumbai,3.0,Pant Nagar Mumbai,333.0,32583.17,1022.0,New Property
Mumbai,2.0,Anand Nagar Santacruz East Mumbai,200.0,22222.22,900.0,Resale
Mumbai,2.0,Mulund West Mumbai,190.0,21111.11,900.0,New Property
Mumbai,3.0,Bhandup West Mumbai,187.0,23229.81,805.0,New Property
Mumbai,3.0,Evershine Nagar Mumbai,355.0,30869.57,1150.0,New Property
Mumbai,3.0,Mira Road Area Mumbai,160.0,17897.09,894.0,New Property
Mumbai,1.0,Vikhroli West Mumbai,245.23,65921.55,372.0,New Property
Mumbai,2.0,Mira Road East Mumbai,125.0,12755.1,980.0,Resale
Mumbai,2.0,Mulund Mumbai,249.0,29294.12,850.0,Resale
Mumbai,3.0,Matunga Mumbai,1039.0,73687.94,1410.0,New Property
Mumbai,2.0,Virar West Mumbai,245.23,39745.25,617.0,Resale
Mumbai,3.0,Wadala East Mumbai,426.0,38172.04,1116.0,New Property
Mumbai,2.0,Kanchpada Mumbai,200.0,32626.43,613.0,Resale
Mumbai,3.0,Powai Mumbai,439.0,34243.37,1282.0,New Property
Mumbai,4.0,Bandra West Mumbai,3015.0,118607.4,2542.0,New Property
Mumbai,2.0,Mulund West Mumbai,245.0,28688.52,854.0,New Property
Mumbai,1.0,Virar Mumbai,245.23,61307.04,400.0,Resale
Mumbai,1.0,Beverly Park Mumbai,245.23,54983.89,446.0,New Property
Mumbai,2.0,Veera Desai Industrial Estate Mumbai,315.0,44241.57,712.0,New Property
Mumbai,2.0,Andheri East Mumbai,216.0,30901.29,699.0,New Property
Mumbai,1.0,Penkarpada Mumbai,245.23,56634.68,433.0,New Property
Mumbai,3.0,Andheri East Mumbai,276.0,25964.25,1063.0,New Property
Mumbai,3.0,Akurli Nagar Mumbai,345.0,30026.11,1149.0,New Property
Mumbai,6.0,Hiranandani Gardens Mumbai,756.0,36000.0,2100.0,New Property
Mumbai,1.0,Mira Road East Mumbai,245.23,53660.43,457.0,New Property
Mumbai,2.0,Kandivali East Mumbai,112.0,21013.13,533.0,New Property
Mumbai,3.0,Andheri West Mumbai,565.0,46732.84,1209.0,Resale
Mumbai,4.0,Prabhadevi Mumbai,2000.0,95238.1,2100.0,New Property
Mumbai,3.0,Powai Mumbai,385.0,36842.11,1045.0,New Property
Mumbai,2.0,Mira Road Area Mumbai,128.0,20317.46,630.0,Resale
Mumbai,2.0,Borivali East Mumbai,228.0,25333.33,900.0,Resale
Mumbai,2.0,Worli Mumbai,500.0,55991.04,893.0,Resale
Mumbai,1.0,Deonar Govandi East Mumbai,111.0,23870.97,465.0,New Property
Mumbai,2.0,Shivaji Park Mumbai,294.0,44885.5,655.0,New Property
Mumbai,3.0,Hiranandani Gardens Mumbai,564.0,42247.19,1335.0,New Property
Mumbai,2.0,Kandivali East Mumbai,162.0,23546.51,688.0,New Property
Mumbai,2.0,Link Road Mumbai,239.0,29689.44,805.0,Resale
Mumbai,1.0,Kandivali East Mumbai,120.0,30000.0,400.0,Resale
Mumbai,4.0,Prabhadevi Mumbai,1500.0,71428.57,2100.0,New Property
